City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,axim,4.8699,-2.2405,25.41,86,80,2.18,GH,1730517995
84,tarrafal de sao nicolau,16.5667,-24.3667,25.29,79,42,4.05,CV,1730517996
85,kerikeri,-35.2268,173.9474,19.69,56,99,4.0,NZ,1730517999
86,bone south,16.2446,120.9958,27.98,68,31,2.14,PH,1730518000
87,kattivakkam,13.2167,80.3167,29.05,96,8,2.5,IN,1730518001
88,ilomantsi,62.6716,30.9328,-3.03,83,95,2.02,FI,1730518002
89,kodiak,57.79,-152.4072,5.73,93,100,15.95,US,1730518003
90,kirensk,57.7853,108.1119,-3.11,90,100,1.36,RU,1730518004
91,saint-philippe,-21.3585,55.7679,23.18,86,69,5.02,RE,1730518006
92,klyuchi,52.2667,79.1667,3.37,75,100,6.24,RU,1730518007
93,wanning,18.8003,110.3967,25.65,77,100,5.91,CN,1730518008
94,rancharia,-22.2292,-50.8931,20.75,84,100,1.72,BR,1730518009
95,sanctuary point,-35.1114,150.629,18.88,60,97,5.09,AU,1730518010
96,bubaque,11.2833,-15.8333,28.15,80,70,4.73,GW,1730518011
97,linxia chengguanzhen,35.6003,103.2064,10.6,47,69,2.41,CN,1730518013
98,arraial do cabo,-22.9661,-42.0278,22.96,91,32,6.17,BR,1730518014
99,olonkinbyen,70.9221,-8.7187,-2.7,60,100,5.37,SJ,1730518015
100,namibe,-15.1961,12.1522,17.53,84,57,2.88,AO,1730518016
101,buka,40.8108,69.1986,12.4,62,100,0.55,UZ,1730518017
102,winnemucca,40.973,-117.7357,9.03,31,100,5.66,US,1730518018
103,punta arenas,-53.15,-70.9167,4.06,81,0,11.83,CL,1730518020
104,udachny,66.4167,112.4,-21.09,100,99,1.21,RU,1730518021
105,qamdo,31.1667,97.2333,6.45,26,0,1.11,CN,1730518022
106,koh kong,11.6175,102.9806,30.41,63,60,1.19,KH,1730518024
107,mawlamyinegyunn,16.3833,95.2667,28.41,78,8,3.79,MM,1730518025
108,labytnangi,66.6572,66.4183,0.24,92,100,8.66,RU,1730518026
109,chibougamau,49.9168,-74.3659,-3.21,86,40,3.09,CA,1730517824
110,hamilton,39.1834,-84.5333,8.33,82,20,3.09,US,1730517861
111,callao,-12.0667,-77.15,19.29,72,0,7.2,PE,1730517697
112,zunyi,27.6867,106.9072,17.65,72,97,0.41,CN,1730518030
113,namtsy,62.7161,129.6658,-18.83,90,100,1.23,RU,1730518032
114,kozhevnikovo,56.2589,83.9714,-3.57,83,31,3.23,RU,1730518033
115,taro,-8.3862,115.28,27.66,66,95,1.47,ID,1730518034
116,fisterra,42.9049,-9.2629,16.56,81,7,1.63,ES,1730518035
117,la reforma,25.0833,-108.05,23.18,67,0,3.46,MX,1730518037
118,dudinka,69.4058,86.1778,-7.73,90,100,8.32,RU,1730518038
119,west island,-12.1568,96.8225,27.99,69,75,6.69,CC,1730518039
120,guerrero negro,27.9769,-114.0611,16.87,80,0,5.55,MX,1730518040
121,greymouth,-42.4667,171.2,11.31,68,100,8.56,NZ,1730518041
122,sebastopol,44.6,33.5333,16.11,59,3,0.45,UA,1730517915
123,meadow lake,34.8014,-106.5436,12.05,31,61,1.88,US,1730518045
